id,name,code,name_ingr,code_ingr,unit,unit_cost,ratio,created_at,updated_at
,брокколи с сыром,420346232,брокколи заморож.,792320008,кг,400,0.230,2022-08-11 09:43:30,2022-08-11 09:43:30
,брокколи с сыром,420346232,масло подсолнечное,792310070,кг,70,0.005,2022-08-11 09:43:30,2022-08-11 09:43:30
,брокколи с сыром,420346232,соль,792310114,кг,30,0.002,2022-08-11 09:43:30,2022-08-11 09:43:30
,брокколи с сыром,420346232,сыр Гауда тертый,792330041,кг,430,0.060,2022-08-11 09:43:30,2022-08-11 09:43:30
,брокколи с сыром,420346232,чеснок,792340038,кг,90,0.003,2022-08-11 09:43:30,2022-08-11 09:43:30
